brand,desc,overall_rating,rating_count,original_price,discount_price,offer_percentage,image_url
Roadster,Men Maroon & Black Striped Round Neck T-shirt,"4
|
1.3k Ratings",1.3k Ratings,MRP ₹999,₹329,(67% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12504490/2021/1/27/56929c4f-a69a-48ec-8e0b-995407676a941611737826174-Roadster-Men-Tshirts-9551611737824352-1.jpg"");"
Roadster,The Life Co. Men Pure Cotton Polo Collar T-shirt,"4.1
|
370 Ratings",370 Ratings,MRP ₹699,₹328,(53% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20789192/2022/12/20/c2274860-d969-4d07-809d-625c166fbccb1671533105613-Roadster-Men-Tshirts-901671533105130-1.jpg"");"
Roadster,Men Pink Melange Solid Henley Neck T-shirt,"4.1
|
4.7k Ratings",4.7k Ratings,MRP ₹799,₹327,(59% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1996771/2018/1/31/11517402656574-Roadster-Men-Pink-Solid-Henley-Neck-T-shirt-8021517402656357-1.jpg"");"
Roadster,The Lifestyle Co. Oversized Fit Typography Printed Drop-Shoulder Sleeves Pure Cotton T-shirt,"4.3
|
6 Ratings",6 Ratings,MRP ₹799,₹231,(71% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24917790/2023/11/23/310447d3-f523-415d-8650-e6ba1114bd161700738671299-Roadster-Men-Tshirts-9621700738670967-1.jpg"");"
Roadster,Men Charcoal Melange Solid Round Neck T-shirt,"4.2
|
3.1k Ratings",3.1k Ratings,MRP ₹499,₹199,( 60 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2275373/2018/1/24/11516793428292-Roadster-Men-Charcoal-Solid-Round-Neck-T-shirt-3641516793428158-1.jpg"");"
Roadster,Men Grey Melange Solid Round Neck Pure Cotton T-shirt,"4
|
2.7k Ratings",2.7k Ratings,MRP ₹799,₹239,(70% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2169166/2018/1/31/11517395903130-Roadster-Men-Grey-Melange-Solid-Round-Neck-T-shirt-7291517395902945-1.jpg"");"
Roadster,Men Black Printed Pure Cotton T-shirt,"4
|
608 Ratings",608 Ratings,MRP ₹999,₹339,(66% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/19998056/2022/9/19/639323f7-da0b-41bc-b93f-32e1a1fac22f1663581092785-Roadster-Mens-Black-Printed-Short-Sleeve-Tshirt-384166358109-1.jpg"");"
Roadster,The Lifestyle Co. Oversized Fit Pure Cotton Graphic Printed Drop-Shoulder Sleeves Casual T-shirt,Nil,Nil,MRP ₹799,₹239,(70% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24828224/2023/11/30/42535714-a99f-4576-8023-7b2b4aeb8d841701322213148-Roadster-Men-Tshirts-9701701322212786-1.jpg"");"
Roadster,Men Grey Melange Polo Collar Pockets T-shirt,"3.9
|
353 Ratings",353 Ratings,MRP ₹899,₹449,( 50 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23019446/2023/5/17/e270c612-b272-43c8-afab-2ff03f40e71c1684300776647-Roadster-Men-Tshirts-6751684300776261-1.jpg"");"
Roadster,The Life Co. Embroidered Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt,Nil,Nil,MRP ₹799,₹231,(71% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24917850/2023/12/27/b1cf338d-bbff-4b25-817e-d4c094f6e1361703680242961-Roadster-Men-Tshirts-2831703680242600-1.jpg"");"
Roadster,The Lifestyle Co Men Olive Green Solid Round Neck T-shirt,"4.2
|
673 Ratings",673 Ratings,MRP ₹599,₹185,(69% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10424646/2019/9/26/e8c35914-c869-46db-8060-a7cc1393c4aa1569474313921-Roadster-Men-Tshirts-6641569474312699-1.jpg"");"
Roadster,Men White T-shirt,"4
|
936 Ratings",936 Ratings,MRP ₹499,₹309,(38% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18346812/2022/5/26/2469bc0c-f223-4d4a-8c0c-fded300a36ad1653559279287-Roadster-Men-Tshirts-8681653559278810-1.jpg"");"
Roadster,The Lifestyle Co. Printed Pure Cotton T-shirt,Nil,Nil,MRP ₹699,₹230,(67% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25127936/2024/1/3/e7723209-cbd6-45e5-ac50-907111d572371704263187030-Roadster-Men-Tshirts-6051704263186640-1.jpg"");"
Roadster,Men Striped T-shirt,"3.6
|
220 Ratings",220 Ratings,MRP ₹799,₹391,( 51 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23622848/2023/6/23/464690b5-fac7-4263-8a2c-17f2b94771601687513390144-Roadster-Men-Tshirts-5091687513389755-1.jpg"");"
Roadster,Men Olive Green Solid Round Neck T-shirt,"3.9
|
3k Ratings",3k Ratings,MRP ₹499,₹149,(70% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11632500/2020/7/15/05d4d969-3cf8-4c2c-a757-987d4a0f2c7d1594809711993-Roadster-Men-Olive-Green-Solid-Round-Neck-T-shirt-8351594809-1.jpg"");"
Roadster,Men Burgundy & Charcoal Grey Printed Round Neck T-shirt,"4.3
|
779 Ratings",779 Ratings,MRP ₹599,₹173,(71% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11545330/2020/3/21/11f2f9d3-3966-4f6b-817c-7cc94ae28a951584776880792-Roadster-Men-Tshirts-7781584776879544-1.jpg"");"
Roadster,The Lifestyle Co Men Green Pure Cotton Solid Mandarin Collar T-shirt,"3.9
|
1.2k Ratings",1.2k Ratings,MRP ₹1299,₹740,(43% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13620794/2021/3/4/c12fe08c-376c-4695-a75c-11ca40c136151614849086627-Roadster-Men-Green-Solid-Mandarin-Collar-T-shirt-82316148490-1.jpg"");"
Roadster,Men Mauve Pure Cotton Solid Round Neck Pure Cotton T-shirt,"4.2
|
1.3k Ratings",1.3k Ratings,MRP ₹499,₹204,(59% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12504412/2020/12/11/5edd7a5a-967e-4c01-8b9d-a640af5385eb1607670111760-Roadster-Men-Mauve-Pure-Cotton-Solid-Round-Neck-T-shirt-8421-1.jpg"");"
Roadster,Men White T-shirt,"4
|
813 Ratings",813 Ratings,MRP ₹399,₹303,(24% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18346840/2022/5/26/88fd5950-f2e5-45f2-878a-4126189294f11653559904881-Roadster-Men-Tshirts-4511653559904350-1.jpg"");"
Roadster,The Lifestyle Co. Printed Drop-Shoulder Sleeves Pure Cotton T-shirt,"4.3
|
6 Ratings",6 Ratings,MRP ₹799,₹367,(54% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25126146/2023/12/12/9e928de8-94ad-4361-a07d-118190400d761702368132114-Roadster-Men-Tshirts-4061702368131824-1.jpg"");"
Roadster,The Life Co. Embroidered Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt,"3.8
|
6 Ratings",6 Ratings,MRP ₹799,₹231,(71% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24917922/2023/12/19/e93252b1-0072-428a-95da-3abd2cc0da481702978278987-Roadster-Men-Tshirts-2701702978278552-1.jpg"");"
Roadster,The Life Co. Pure Cotton Solid Drop-Shoulder Sleeves Casual T-shirt,"4.2
|
9 Ratings",9 Ratings,MRP ₹699,₹209,(70% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24917936/2023/12/11/387533ec-4293-4c0a-9691-843b6c8e2b271702284852872-Roadster-Men-Tshirts-9221702284852512-1.jpg"");"
Roadster,Men Black & Grey Graphic Printed Pure Cotton T-shirt,"4.2
|
676 Ratings",676 Ratings,MRP ₹799,₹351,(56% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/19034138/2022/7/21/a59d63fd-a88c-4b99-835c-8d33c099f6351658388142026-Roadster-Men-Black-Pure-Cotton-Round-Neck-Short-Sleeves-Prin-1.jpg"");"
Roadster,The Life Co. Men Pure Cotton Solid Polo Collar T-shirt,"4.1
|
189 Ratings",189 Ratings,MRP ₹699,₹279,(60% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20789202/2023/1/9/e91b70f0-fedb-4c87-9d87-1cb760c890fa1673262443118-Roadster-Men-Tshirts-4751673262442634-1.jpg"");"
Roadster,Tie & Dye-Printed Drop-Shoulder Sleeves Pure-Cotton Oversized T-Shirt,"4.3
|
10 Ratings",10 Ratings,MRP ₹1299,₹454,(65% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25289888/2023/9/30/fb185976-b044-4cfe-a1e1-339ce8ec64561696070566103RoadsterMenTieDye-PrintedOversizedPure-CottonT-Shirt1.jpg"");"
