brand,desc,overall_rating,rating_count,original_price,discount_price,offer_percentage,image_url
WROGN,Men Green Slim Fit Solid Polo Collar Pure Cotton T-shirt with Logo,"4.2
|
220 Ratings",220 Ratings,MRP ₹1599,₹719,(55% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13674410/2022/3/23/a3fbc3f3-741b-4b54-bce2-ef995a01f6e81648038390036-WROGN-Men-Green-Slim-Fit-Solid-Polo-Collar-Pure-Cotton-T-shi-1.jpg"");"
WROGN,Men Grey & Teal Blue Colourblocked Slim Fit Round Neck T-shirt,"4.1
|
502 Ratings",502 Ratings,MRP ₹999,₹559,(44% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11363802/2020/3/18/25697180-0cc9-4e0f-a6c1-9df3af804f711584503341818-WROGN-Men-Tshirts-7841584503340504-1.jpg"");"
WROGN,Pure Cotton Colourblocked Regular Fit Casual T-shirt,Nil,Nil,MRP ₹1099,₹527,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26041396/2023/12/28/b6212821-67c6-47aa-be3b-e27141b962331703736535459-WROGN-Men-Tshirts-1941703736535068-1.jpg"");"
WROGN,White Printed Pure Cotton T-shirt,"4.2
|
1.2k Ratings",1.2k Ratings,MRP ₹899,₹494,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1421972/2016/9/10/11473504588337-WROGN-White-Printed-Slim-Fit-T-shirt-891473504587911-1.jpg"");"
WROGN,Men Grey Melange Self Design Welt Pocket T-shirt,"4.1
|
7.6k Ratings",7.6k Ratings,MRP ₹1399,₹587,(58% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1894413/2017/6/20/11497943671766-WROGN-Men-Grey-Melange-Self-Design-Round-Neck-T-shirt-881497943671356-1.jpg"");"
WROGN,Men Pure Cotton T-shirt,Nil,Nil,MRP ₹1199,₹575,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26041394/2023/12/1/ad2564b5-a24c-4c71-b79f-be28277d48941701431073800-WROGN-Men-Tshirts-4141701431073537-1.jpg"");"
WROGN,Men Maroon Solid Round Neck Slim Fit Pure Cotton T-shirt,"4.2
|
648 Ratings",648 Ratings,MRP ₹1299,₹636,(51% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10188529/2019/9/19/feb3192e-5a30-407a-beaa-b8d169138b551568895611092-WROGN-Men-Tshirts-5441568895609921-1.jpg"");"
WROGN,Men Cream-Coloured Solid Polo Collar Pure Cotton T-shirt,"4.1
|
1.9k Ratings",1.9k Ratings,MRP ₹1399,₹671,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10188369/2023/1/25/ecfade57-d284-4353-abce-0ab3aa5cc3231674639445351WROGNMenCream-ColouredSolidPoloCollarPureCottonT-shirt1.jpg"");"
WROGN,Men White Solid Slim Fit Polo Pure Cotton T-shirt,"3.9
|
1.6k Ratings",1.6k Ratings,MRP ₹1299,₹610,(53% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10410438/2019/8/29/2fb85ca3-f2f6-40c8-bd1e-75b94427d15b1567074329182-WROGN-Men-White-Solid-Slim-Fit-Polo-T-shirt-931567074327962-1.jpg"");"
WROGN,Men Red Solid Slim Fit T-shirt,"4.1
|
231 Ratings",231 Ratings,MRP ₹1299,₹623,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15070098/2021/11/2/c2d5dd6e-db2d-4477-b5b3-133b02e3c7361635838062932-WROGN-Men-Tshirts-8061635838062328-1.jpg"");"
WROGN,Men Coral Orange Slim Fit Solid Pure Cotton Polo Collar Pure Cotton T-shirt,"4.1
|
226 Ratings",226 Ratings,MRP ₹1399,₹671,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13673922/2021/6/21/ef665689-53da-4f32-8e83-ca543850027e1624276561283-WROGN-Men-Orange-Solid-Pure-Cotton-Polo-Collar-T-shirt-10216-1.jpg"");"
WROGN,Men White & Red Brand Logo Printed Polo Collar Slim Fit T-shirt,"4.2
|
107 Ratings",107 Ratings,MRP ₹1399,₹769,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15070196/2021/11/2/d9397c37-23ea-4640-b22f-57b0bfffc6491635836570846-WROGN-Men-Tshirts-7261635836570271-1.jpg"");"
WROGN,Round Neck Ribbed Slim Fit T-shirts,Nil,Nil,MRP ₹1399,₹685,(51% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25826606/2023/12/12/6b549125-66f6-46c1-9376-5b73914cdfcc1702360269211-WROGN-Men-Shirts-921702360268865-1.jpg"");"
WROGN,Polo Collar Cotton Slim Fit T-shirt,"3.5
|
21 Ratings",21 Ratings,MRP ₹1499,₹629,(58% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23430028/2023/5/26/416af953-7bde-4892-bec5-e05b8046f3621685119980235WROGNMenNavyBluePoloCollarSlimFitT-shirt1.jpg"");"
WROGN,Men Black & Grey Typography Print Round Neck Pure Cotton Slim Fit T-shirt,"4.3
|
123 Ratings",123 Ratings,MRP ₹1299,₹714,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17026546/2022/2/14/a05acc5c-ae3b-475c-af49-9d7560f432381644815877856-WROGN-Men-Tshirts-571644815877343-1.jpg"");"
WROGN,Solid T-shirt,"3.6
|
35 Ratings",35 Ratings,MRP ₹1299,₹623,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23770228/2023/7/24/b0166157-3dd8-4b78-a8f4-f458ade0e6f21690183557123-WROGN-Men-Tshirts-9621690183556680-1.jpg"");"
WROGN,Men Peach-Coloured White Slim Fit Striped Round Neck Pure Cotton T-shirt,"4.2
|
229 Ratings",229 Ratings,MRP ₹1099,₹527,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12423396/2023/12/12/04b8924c-c2ab-40cc-940f-a1705dbb9c921702357711235-WROGN-Men-Peach-Coloured--White-Slim-Fit-Striped-Round-Neck--1.jpg"");"
WROGN,Men Charcoal Grey Black Colourblocked Slim Fit Hood Pure Cotton T-shirt,"4.2
|
1.4k Ratings",1.4k Ratings,MRP ₹1499,₹719,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10410606/2019/10/29/96cc0b95-f50f-4a82-ad35-b76c4b2755121572332383107-WROGN-Men-Grey--Black-Colourblocked-Hood-T-shirt-22615723323-1.jpg"");"
WROGN,Polo Collar Cotton T-shirt,"3.6
|
10 Ratings",10 Ratings,MRP ₹1499,₹749,(50% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24830406/2023/9/6/97d49667-61b1-4fb8-bbd8-bf4c94e82f601693967639680WROGNMenWhitePoloCollarAppliqueT-shirt1.jpg"");"
WROGN,Men Black Printed Slim Fit Round Neck T-shirt,"4.2
|
1.1k Ratings",1.1k Ratings,MRP ₹1049,₹440,(58% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2339240/2018/3/13/11520937694422-WROGN-Men-Black-Printed-Round-Neck-T-shirt-7351520937694253-1.jpg"");"
WROGN,Polo Collar T-shirt,"4.2
|
26 Ratings",26 Ratings,MRP ₹1399,₹769,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23309974/2023/9/4/68b7b4b9-7ecb-4f5e-88b0-22ab4df41f4b1693827031009-WROGN-Men-Tshirts-1611693827030592-1.jpg"");"
WROGN,Men Pure Cotton Typography Printed Slim Fit T-shirt,"3.9
|
37 Ratings",37 Ratings,MRP ₹999,₹449,(55% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23364570/2023/11/9/dbb81542-42da-4660-96f4-7c9e652938261699501871690-WROGN-Men-Pure-Cotton-Typography-Printed-Slim-Fit-T-shirt-11-1.jpg"");"
WROGN,Round Neck Ribbed Slim Fit T-shirt,Nil,Nil,MRP ₹1399,₹769,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25826654/2023/12/27/0a843e59-566c-4c91-96c6-f2677750a9721703671634605-WROGN-Men-Shirts-771703671634268-1.jpg"");"
WROGN,Men Black Solid Slim Fit Round Neck T-shirt,"4.3
|
804 Ratings",804 Ratings,MRP ₹899,₹431,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10410664/2023/12/12/3c8bf01f-2377-4376-ba5c-2d012aed39251702357984616-WROGN-Men-Black-Solid-Slim-Fit-Round-Neck-T-shirt-2111702357-1.jpg"");"
WROGN,Round Neck Slim Fit Cotton T-shirt,"4.5
|
8 Ratings",8 Ratings,MRP ₹1049,₹440,(58% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25473542/2023/10/13/f14f7922-2129-413b-b959-9eed8653b11e1697211435767WROGNMenBlackPocketsSlimFitT-shirt1.jpg"");"
WROGN,Self Design Drop-Shoulder Sleeves Oversized T-shirt,Nil,Nil,MRP ₹1199,₹575,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26041398/2023/12/18/e93e24ad-8834-4adf-b52c-e85ef593d3ff1702872753428-WROGN-Men-Tshirts-381702872753074-1.jpg"");"
WROGN,Men Navy Blue Polo Collar Slim Fit Pure Cotton T-shirt,"3.4
|
88 Ratings",88 Ratings,MRP ₹1599,₹655,(59% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17457568/2022/3/10/0960a132-3a94-4718-8cc8-a038899489a71646891428212WROGNMenNavyBluePoloCollarSlimFitT-shirt1.jpg"");"
WROGN,Men White Dyed Cotton Pure Cotton T-shirt,"3.9
|
3.8k Ratings",3.8k Ratings,MRP ₹1299,₹623,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8426459/2023/2/21/1b425c93-627a-4edc-96ea-b809aa40e5241676971648396-WROGN-Men-White-Dyed-Cotton-Pure-Cotton-T-shirt-347167697164-1.jpg"");"
WROGN,Men Rust Orange Slim Fit Printed Round Neck Pure Cotton T-shirt,"4.1
|
648 Ratings",648 Ratings,MRP ₹1299,₹623,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10188589/2020/7/31/f3820691-400d-4751-8fd9-adbcc7504d081596170533302-WROGN-Men-Rust-Orange-Slim-Fit-Printed-Round-Neck-T-shirt-85-1.jpg"");"
WROGN,Slim Fit Casual Cotton T-shirt,"3.9
|
11 Ratings",11 Ratings,MRP ₹1399,₹573,(59% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23429930/2023/5/26/aefb3ce6-d35f-4fca-a7b1-1a73f481a60b1685111900631WROGNMenMaroonPocketsSlimFitT-shirt1.jpg"");"
WROGN,Men Brand Logo Printed & Colourblocked Slim Fit T-shirt,Nil,Nil,MRP ₹1399,₹671,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25537950/2023/12/7/38023f56-1bf2-4b58-9f5d-605ddc25438c1701946195931-WROGN-Men-Tshirts-2321701946195565-1.jpg"");"
WROGN,Polo Collar Cotton Slim Fit T-shirt,"4.3
|
40 Ratings",40 Ratings,MRP ₹1899,₹797,(58% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23429998/2023/5/26/4137db21-7b01-4278-b747-987a92dbbdba1685111970277WROGNMenMaroonPoloCollarPocketsSlimFitT-shirt1.jpg"");"
WROGN,Men Grey Printed Slim Fit Round Neck Pure Cotton T-shirt,"3.9
|
543 Ratings",543 Ratings,MRP ₹1199,₹575,(52% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10410502/2023/12/12/a22e3b6d-4fd1-4399-abb7-7d0c3c62392f1702358124026-WROGN-Men-Grey-Printed-Slim-Fit-Round-Neck-Pure-Cotton-T-shi-1.jpg"");"
