brand,desc,overall_rating,rating_count,original_price,discount_price,offer_percentage,image_url
HRX by Hrithik Roshan,Rapid-Dry Printed Training T-shirt,"4.1
|
15 Ratings",15 Ratings,MRP ₹1099,₹714,(35% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23264302/2023/8/24/7dcfc791-54e4-4af1-b2e2-e4de65d9e20f1692876870796-HRX-by-Hrithik-Roshan-Men-Tshirts-7401692876870214-1.jpg"");"
HRX by Hrithik Roshan,Men Geometric Print Rapid-Dry Badminton T-shirt,"4.3
|
15 Ratings",15 Ratings,MRP ₹1299,₹519,(60% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22411672/2023/9/8/3c8a7c7b-ecc4-4594-b1a3-8478baf685e21694170072364-HRX-by-Hrithik-Roshan-Men-Black--Charcoal-Printed-V-Neck-Mon-1.jpg"");"
HRX by Hrithik Roshan,Men Printed Hooded Rapid-Dry Training T-shirt,"4.2
|
16 Ratings",16 Ratings,MRP ₹1299,₹714,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21774114/2023/12/18/7ec42e3c-b966-4c7c-9d74-eea12bac8b411702889038055HRXbyHrithikRoshanMenPrintedHoodedRapid-DryTrainingT-shirt1.jpg"");"
HRX by Hrithik Roshan,Men Black Printed Active RAPID-DRY T-Shirt,"4.2
|
2.4k Ratings",2.4k Ratings,MRP ₹1099,₹329,( 70 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1714052/2022/5/14/fe2a8c3f-7dea-41c8-b0e5-1b5712eb7d611652506405937-HRX-by-Hrithik-Roshan-Men-Black-Printed-Active-RAPID-DRY-T-S-7.jpg"");"
HRX by Hrithik Roshan,Men Grey Running T-shirt,"4.2
|
1k Ratings",1k Ratings,MRP ₹1099,₹428,(61% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10106211/2023/11/6/5a52118c-a350-4679-aa1d-4816faba0c2c1699261981369-HRX-by-Hrithik-Roshan-Men-Grey-Running-T-shirt-9391699261980-1.jpg"");"
HRX by Hrithik Roshan,Printed Antimicrobial Training T-shirt,"4.3
|
13 Ratings",13 Ratings,MRP ₹699,₹279,(60% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23559520/2023/10/4/589a7c1c-aec2-49ca-b9c4-5e814f0ad63a1696402052161-HRX-by-Hrithik-Roshan-Men-Tshirts-2631696402051717-1.jpg"");"
HRX by Hrithik Roshan,Rapid-Dry Running T-shirt,Nil,Nil,MRP ₹699,₹279,(60% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25656456/2023/12/22/3606380e-fe22-4e48-9988-d0c7515f60d61703224886639-HRX-by-Hrithik-Roshan-Rapid-Dry-Running-T-shirt-425170322488-1.jpg"");"
HRX by Hrithik Roshan,Typography Printed T-shirt,"4.2
|
46 Ratings",46 Ratings,MRP ₹599,₹299,(50% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22254372/2023/3/24/0619aeef-5683-48e0-8f57-6029b889fcf41679635612615-HRX-by-Hrithik-Roshan-Men-Tshirts-5271679635612076-1.jpg"");"
HRX by Hrithik Roshan,HRX Active by Hrithik Roshan Seamless Men Charcoal Grey Printed Round Neck T-shirt,"4.5
|
1.3k Ratings",1.3k Ratings,MRP ₹1099,₹329,(70% OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/3009821/2018/7/27/c0d262ca-442b-49c2-a113-cf7e1e56c65f1532691415032-HRX-Active-by-Hrithik-Roshan-Men-Charcoal-Grey-Rapid-Dry-Pri-1.jpg"");"
HRX by Hrithik Roshan,Brand Printed Rapid-Dry Training T-shirt,"4.2
|
6 Ratings",6 Ratings,MRP ₹899,₹494,( 45 % OFF),"background-image: url(""https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23559530/2023/11/9/d3a027f1-898b-40fe-8c25-d0ee5baf66a11699511424094-HRX-by-Hrithik-Roshan-Men-Tshirts-7381699511423667-1.jpg"");"
